Symbol,Name,AtomicMass
H,Hydrogen,1.008
He,Helium,4.0026
Li,Lithium,7
Be,Beryllium,9.012183
B,Boron,10.81
C,Carbon,12.011
N,Nitrogen,14.007
O,Oxygen,15.999
F,Fluorine,18.99840316
Ne,Neon,20.18
Na,Sodium,22.9897693
Mg,Magnesium,24.305
Al,Aluminum,26.981538
Si,Silicon,28.085
P,Phosphorus,30.973762
S,Sulfur,32.07
Cl,Chlorine,35.45
Ar,Argon,39.9
K,Potassium,39.0983
Ca,Calcium,40.08
Sc,Scandium,44.95591
Ti,Titanium,47.867
V,Vanadium,50.9415
Cr,Chromium,51.996
Mn,Manganese,54.93804
Fe,Iron,55.84
Co,Cobalt,58.93319
Ni,Nickel,58.693
Cu,Copper,63.55
Zn,Zinc,65.4
Ga,Gallium,69.723
Ge,Germanium,72.63
As,Arsenic,74.92159
Se,Selenium,78.97
Br,Bromine,79.9
Kr,Krypton,83.8
Rb,Rubidium,85.468
Sr,Strontium,87.62
Y,Yttrium,88.90584
Zr,Zirconium,91.22
Nb,Niobium,92.90637
Mo,Molybdenum,95.95
Tc,Technetium,96.90636
Ru,Ruthenium,101.1
Rh,Rhodium,102.9055
Pd,Palladium,106.42
Ag,Silver,107.868
Cd,Cadmium,112.41
In,Indium,114.818
Sn,Tin,118.71
Sb,Antimony,121.76
Te,Tellurium,127.6
I,Iodine,126.9045
Xe,Xenon,131.29
Cs,Cesium,132.905452
Ba,Barium,137.33
La,Lanthanum,138.9055
Ce,Cerium,140.116
Pr,Praseodymium,140.90766
Nd,Neodymium,144.24
Pm,Promethium,144.91276
Sm,Samarium,150.4
Eu,Europium,151.964
Gd,Gadolinium,157.25
Tb,Terbium,158.92535
Dy,Dysprosium,162.5
Ho,Holmium,164.93033
Er,Erbium,167.26
Tm,Thulium,168.93422
Yb,Ytterbium,173.05
Lu,Lutetium,174.9667
Hf,Hafnium,178.49
Ta,Tantalum,180.9479
W,Tungsten,183.84
Re,Rhenium,186.207
Os,Osmium,190.2
Ir,Iridium,192.22
Pt,Platinum,195.08
Au,Gold,196.96657
Hg,Mercury,200.59
Tl,Thallium,204.383
Pb,Lead,207
Bi,Bismuth,208.9804
Po,Polonium,208.98243
At,Astatine,209.98715
Rn,Radon,222.01758
Fr,Francium,223.01973
Ra,Radium,226.02541
Ac,Actinium,227.02775
Th,Thorium,232.038
Pa,Protactinium,231.03588
U,Uranium,238.0289
Np,Neptunium,237.048172
Pu,Plutonium,244.0642
Am,Americium,243.06138
Cm,Curium,247.07035
Bk,Berkelium,247.07031
Cf,Californium,251.07959
Es,Einsteinium,252.083
Fm,Fermium,257.09511
Md,Mendelevium,258.09843
No,Nobelium,259.101
Lr,Lawrencium,266.12
Rf,Rutherfordium,267.122
Db,Dubnium,268.126
Sg,Seaborgium,269.128
Bh,Bohrium,270.133
Hs,Hassium,269.1336
Mt,Meitnerium,277.154
Ds,Darmstadtium,282.166
Rg,Roentgenium,282.169
Cn,Copernicium,286.179
Nh,Nihonium,286.182
Fl,Flerovium,290.192
Mc,Moscovium,290.196
Lv,Livermorium,293.205
Ts,Tennessine,294.211
Og,Oganesson,295.216
